,_latitude,_longitude,number_of_operators,number_of_available_trolleys,serving_customer,describe_the_accident,maximum_number_of_vehicles_in_the_traffic_jam
98,19.00398578,-98.26656124,2.0,1.0,1.0,,5.0
99,19.0041961,-98.26624372,3.0,1.0,1.0,,5.0
100,19.00416299,-98.26623402,1.0,1.0,1.0,,5.0
101,19.00417212,-98.26627933,2.0,1.0,1.0,,5.0
102,19.00469036,-98.26640032,1.0,1.0,1.0,,5.0
103,19.00398218,-98.26677351,1.0,1.0,1.0,,5.0
104,19.00443218,-98.26655268,2.0,1.0,1.0,,5.0
105,19.00418492,-98.26629784,1.0,1.0,1.0,,5.0
106,19.00378324,-98.266951,2.0,1.0,1.0,,5.0
107,19.0221294,-98.260704,1.5,1.0,1.0,,5.0
108,19.0222526,-98.2608584,1.0,0.0,1.0,,5.0
109,19.0221078,-98.259917,2.0,1.0,1.0,,5.0
110,19.0223355,-98.2613098,1.5,1.0,1.0,,5.0
111,19.0224584,-98.2614833,2.0,1.0,1.0,,5.0
112,19.0226014,-98.2615151,1.0,0.0,1.0,,5.0
113,19.0225792,-98.2615813,1.0,0.0,1.0,,5.0
114,19.0196414,-98.2625225,1.0,0.0,1.0,,5.0
115,19.0190991,-98.262539,1.5,1.0,1.0,,5.0
116,19.0199367,-98.2611618,2.0,1.0,1.0,,5.0
117,19.0203189,-98.2610105,1.0,1.0,1.0,,5.0
118,19.0271875,-98.255475,2.0,1.0,1.0,,5.0
119,19.0283016,-98.2551571,2.0,1.0,1.0,,5.0
120,19.0295166,-98.2564437,2.0,1.0,1.0,,5.0
121,19.027931,-98.258336,1.0,1.0,1.0,,5.0
122,19.0240386,-98.2614064,1.0,0.0,1.0,,5.0
123,19.0239537,-98.2614156,1.0,0.0,1.0,,5.0
124,19.0246879,-98.2610514,2.0,1.0,1.0,,5.0
125,19.0223633,-98.2608733,2.0,1.0,1.0,,5.0
126,19.022034,-98.2605816,2.0,0.0,1.0,,5.0
127,19.022007,-98.2605728,1.5,2.0,1.0,,5.0
128,19.0220533,-98.2604477,3.0,2.0,1.0,,5.0
129,19.059749,-98.2280428,2.0,0.0,1.0,,5.0
130,19.0626148,-98.2346855,1.0,2.0,1.0,,5.0
131,19.0565655,-98.2320416,2.0,0.0,1.0,,5.0
132,19.0578975,-98.2294284,2.0,0.0,1.0,,5.0
133,19.07039393,-98.16465799,2.0,0.0,1.0,,5.0
134,19.07321251,-98.1680825,2.0,2.0,1.0,,5.0
135,19.0741106,-98.1736208,2.0,0.0,1.0,,5.0
136,19.0744375,-98.1732126,1.0,0.0,1.0,,5.0
137,19.07167917,-98.16691842,1.0,0.0,1.0,,5.0
138,19.02703779,-98.24935527,1.0,0.0,1.0,,5.0
139,19.07192456,-98.16676019,1.0,0.0,1.0,,5.0
140,19.0747741,-98.1674194,2.0,0.0,1.0,,5.0
141,19.0726389,-98.1694718,1.0,0.0,1.0,,5.0
142,19.0746375,-98.1734403,1.0,0.0,1.0,,5.0
143,19.0722369,-98.1673744,2.0,1.0,1.0,,5.0
144,19.0720063,-98.1666132,1.0,0.0,1.0,,5.0
145,19.02514495,-98.24901824,2.0,2.0,1.0,,5.0
146,19.07211175,-98.16531644,1.0,0.0,1.0,,5.0
147,19.07303888,-98.16578735,1.0,0.0,1.0,,5.0
148,19.07476348,-98.16743158,1.0,0.0,1.0,,5.0
149,19.07285313,-98.16953598,1.0,0.0,1.0,,5.0
150,19.07245866,-98.1701053,1.0,0.0,1.0,,5.0
151,19.03076184,-98.25009883,2.0,2.0,1.0,,5.0
152,19.03073124,-98.24982638,1.0,0.0,1.0,,5.0
153,19.01463019,-98.22103291,1.0,1.0,1.0,,2.0
154,19.07473645,-98.17446617,2.0,0.0,1.0,,5.0
155,19.02516802,-98.24909727,1.0,0.0,1.0,,5.0
156,19.07444109,-98.17355007,2.0,0.0,1.0,,5.0
157,19.07441178,-98.17245372,1.5,0.0,1.0,,5.0
158,19.07616531,-98.17082087,1.0,0.0,1.0,,5.0
159,19.07216865,-98.16727834,1.0,0.0,1.0,,5.0
160,19.07197528,-98.16699092,1.0,0.0,1.0,,5.0
161,19.07207519,-98.16657669,1.0,0.0,1.0,,5.0
